factor,params,direction,ls_ar,ls_sr,selected_ar,selected_sr,ic_mean,ic_ir,selected_ic_mean,selected_ic_ir,latest_coverage,n_days,variant
factor_05_volume_price_divergence_cov,"{'delta_window': 2, 'cov_window': 30}",1,0.25554337795122073,1.784634247620321,0.25554337795122073,1.784634247620321,0.0138966556808858,1.608154518096563,0.0138966556808858,1.608154518096563,1.0,2111,4
factor_05_volume_price_divergence_cov,"{'delta_window': 5, 'cov_window': 30}",1,0.255988575739725,1.7694686217480138,0.255988575739725,1.7694686217480138,0.013394365389293004,1.534777364524427,0.013394365389293004,1.534777364524427,1.0,2111,5
factor_19_price_momentum_fund_volatility_reverse,{},1,0.26334821395655045,1.752666698702146,0.26334821395655045,1.752666698702146,0.016924619641081055,1.899277798744357,0.016924619641081055,1.899277798744357,0.946,2111,1
factor_19_price_momentum_fund_volatility_reverse,{'window': 30},1,0.2806147428333724,1.7498559524298614,0.2806147428333724,1.7498559524298614,0.01743683619831954,1.8323879575619537,0.01743683619831954,1.8323879575619537,0.938,2111,5
factor_34_reverse_vroc_rank_vol_cov,"{'rank_vol_window': 15, 'cov_window': 30}",1,0.13703805244291914,1.7378186661520305,0.13703805244291914,1.7378186661520305,0.008173010494225006,1.6622622039257096,0.008173010494225006,1.6622622039257096,0.938,2111,4
factor_43_turnover_relative_strength_reversal,"{'short_window': 20, 'long_window': 240}",1,0.21638625618440582,1.7326109551375475,0.21638625618440582,1.7326109551375475,0.01308219039558121,1.6722059072370254,0.01308219039558121,1.6722059072370254,0.852,2111,5
factor_05_volume_price_divergence_cov,"{'delta_window': 1, 'cov_window': 40}",1,0.22759048601274998,1.6965566411321833,0.22759048601274998,1.6965566411321833,0.01257055031222187,1.552739910566125,0.01257055031222187,1.552739910566125,1.0,2111,3
factor_43_turnover_relative_strength_reversal,"{'short_window': 5, 'long_window': 180}",1,0.21145903766593907,1.6872410634843296,0.21145903766593907,1.6872410634843296,0.013387933872232822,1.7181291212872245,0.013387933872232822,1.7181291212872245,0.887,2111,3
factor_19_price_momentum_fund_volatility_reverse,{'window': 10},1,0.2427756099962857,1.6821909107978925,0.2427756099962857,1.6821909107978925,0.015424723273229132,1.8052929880071913,0.015424723273229132,1.8052929880071913,0.946,2111,3
factor_43_turnover_relative_strength_reversal,"{'short_window': 10, 'long_window': 180}",1,0.206209507202039,1.6556496220761063,0.206209507202039,1.6556496220761063,0.0128211990125473,1.6520435609071116,0.0128211990125473,1.6520435609071116,0.887,2111,4
factor_19_price_momentum_fund_volatility_reverse,{'window': 5},1,0.2254657316233468,1.6493433774342454,0.2254657316233468,1.6493433774342454,0.014688526793781258,1.8233858418592894,0.014688526793781258,1.8233858418592894,0.947,2111,2
factor_43_turnover_relative_strength_reversal,{},1,0.18908437612741616,1.5868745717117825,0.18908437612741616,1.5868745717117825,0.011796270361753009,1.5832821450808952,0.011796270361753009,1.5832821450808952,0.902,2111,1
factor_43_turnover_relative_strength_reversal,"{'short_window': 5, 'long_window': 120}",1,0.19283393882154973,1.5662920430836036,0.19283393882154973,1.5662920430836036,0.012439810708220181,1.631225657429046,0.012439810708220181,1.631225657429046,0.902,2111,2
factor_15_multi_dimensional_reversal,{},1,0.21904520484943882,1.4695732514634354,0.21904520484943882,1.4695732514634354,0.011977242935725796,1.333364680832441,0.011977242935725796,1.333364680832441,0.944,2111,1
factor_15_multi_dimensional_reversal,{'window': 15},1,0.21301400422767217,1.4568361439588704,0.21301400422767217,1.4568361439588704,0.011616417265188344,1.318361595134728,0.011616417265188344,1.318361595134728,0.946,2111,4
factor_15_multi_dimensional_reversal,{'window': 30},1,0.2223806988168257,1.4494151219961675,0.2223806988168257,1.4494151219961675,0.012070156568198825,1.3057066187655606,0.012070156568198825,1.3057066187655606,0.938,2111,5
factor_34_reverse_vroc_rank_vol_cov,"{'rank_vol_window': 20, 'cov_window': 30}",1,0.09509243688899709,1.4442944288522708,0.09509243688899709,1.4442944288522708,0.005664304773252428,1.3667456773817037,0.005664304773252428,1.3667456773817037,0.938,2111,5
factor_15_multi_dimensional_reversal,{'window': 10},1,0.2050785315965978,1.4396216197226308,0.2050785315965978,1.4396216197226308,0.011280665709598339,1.3125317348329888,0.011280665709598339,1.3125317348329888,0.946,2111,3
factor_52_large_outflow_momentum_reversal,{},1,0.1224271786092317,1.3682895458248674,0.1224271786092317,1.3682895458248674,0.008366777087933359,1.5026987311890587,0.008366777087933359,1.5026987311890587,0.943,2111,1
factor_52_large_outflow_momentum_reversal,{},1,0.1224271786092317,1.3682895458248674,0.1224271786092317,1.3682895458248674,0.008366777087933359,1.5026987311890587,0.008366777087933359,1.5026987311890587,0.943,2111,2
factor_52_large_outflow_momentum_reversal,{},1,0.1224271786092317,1.3682895458248674,0.1224271786092317,1.3682895458248674,0.008366777087933359,1.5026987311890587,0.008366777087933359,1.5026987311890587,0.943,2111,3
factor_52_large_outflow_momentum_reversal,{},1,0.1224271786092317,1.3682895458248674,0.1224271786092317,1.3682895458248674,0.008366777087933359,1.5026987311890587,0.008366777087933359,1.5026987311890587,0.943,2111,4
factor_52_large_outflow_momentum_reversal,{},1,0.1224271786092317,1.3682895458248674,0.1224271786092317,1.3682895458248674,0.008366777087933359,1.5026987311890587,0.008366777087933359,1.5026987311890587,0.943,2111,5
factor_15_multi_dimensional_reversal,{'window': 5},1,0.16659591120913414,1.217861954440153,0.16659591120913414,1.217861954440153,0.009204416088347829,1.1159611320921523,0.009204416088347829,1.1159611320921523,0.947,2111,2
