factor,style,n_corr_days,corr_mean,corr_abs_mean,corr_abs_median,corr_abs_p95,corr_abs_max,share_abs_corr_ge_030,share_abs_corr_ge_050
factor_13_main_fund_stability,Growth,1891,-0.004474274340911667,0.07788344357055708,0.06977116927037373,0.17861377251622665,0.4378315251212561,0.004230565838180857,0.0
factor_13_main_fund_stability,Leverage,1785,0.000991080602080799,0.07706948362476271,0.06931387715101385,0.17167309245314108,0.7032025971326836,0.004481792717086834,0.0016806722689075631
factor_01_residual_volatility,Size,1846,0.001481746147762419,0.05660342104207119,0.046547954732846834,0.1385893582291614,0.7971318064206212,0.003791982665222102,0.0016251354279523294
factor_01_residual_volatility,Beta,1962,-0.0020663837423757964,0.051262034872294776,0.042439072109959376,0.1280320276393265,0.2757592654561543,0.0,0.0
factor_01_residual_volatility,Momentum,1845,-0.002545990587865435,0.055657274167394036,0.04533625221899898,0.13884327970587304,0.6002820627127873,0.002168021680216802,0.001084010840108401
factor_01_residual_volatility,ResVol,1796,-0.00018146169602562708,0.05306674885449108,0.04368146475832384,0.1330831832612009,0.9563290564757476,0.0022271714922048997,0.0016703786191536749
factor_01_residual_volatility,NLS,1846,0.00034592494938550977,0.054012221877834395,0.043570694511757116,0.13462411344368597,0.6660934319469997,0.003791982665222102,0.0010834236186348862
factor_01_residual_volatility,BTP,1807,0.00010432666502231978,0.05903092498056195,0.04814089838779689,0.1435626801869613,0.8696857272326676,0.002213613724405091,0.0011068068622025456
factor_01_residual_volatility,Liquidity,1728,-0.0012311592413444669,0.0643876096352226,0.0505277574221054,0.1654594921645532,0.7692850921813463,0.009837962962962963,0.001736111111111111
factor_01_residual_volatility,EY,1807,0.0018419442680637373,0.05686424402909467,0.046247478639443944,0.14384223358807877,0.5304281400715641,0.003320420586607637,0.0011068068622025456
factor_01_residual_volatility,Growth,1891,0.002931362386302522,0.05840692587002876,0.047808840082971274,0.15053005675231024,0.43881613454488805,0.0031729243786356425,0.0
factor_01_residual_volatility,Leverage,1785,-0.0020162383200245998,0.058071226503187044,0.04709516466205941,0.14382052160191816,0.6859423297320075,0.0016806722689075631,0.0011204481792717086
factor_03_turnover_volatility_momentum,Size,1846,0.0001664821551450664,0.08481718660622832,0.0724004014708583,0.2019836929947467,0.9428523355626002,0.007042253521126761,0.0016251354279523294
factor_03_turnover_volatility_momentum,Beta,1962,-0.009076442969356177,0.07711103435651807,0.06752688001972493,0.18534482642227493,0.2980182521298429,0.0,0.0
factor_03_turnover_volatility_momentum,Momentum,1845,0.0005370997662769723,0.08056002356873081,0.06930309500051403,0.19613019241708018,0.6513588346640395,0.0065040650406504065,0.001084010840108401
factor_03_turnover_volatility_momentum,ResVol,1796,0.00011562806499191102,0.07405329691673387,0.0594929113307007,0.18858011780469533,0.5318493042781941,0.005011135857461025,0.0005567928730512249
factor_03_turnover_volatility_momentum,NLS,1846,-0.002141647960557558,0.08042079844202779,0.06757086886334182,0.19230799586120764,0.9428523355626002,0.004875406283856988,0.0016251354279523294
factor_03_turnover_volatility_momentum,BTP,1807,0.001345409359378507,0.08710838817596468,0.0751264140816684,0.20809587981994407,0.772685756780518,0.004980630879911455,0.0016602102933038186
factor_03_turnover_volatility_momentum,Liquidity,1728,0.0026811414479452323,0.08645855706630527,0.06992733174271418,0.2165280770684263,0.8649610343838315,0.01273148148148148,0.0028935185185185184
factor_03_turnover_volatility_momentum,EY,1807,0.0005952225826906419,0.08780812638792947,0.07641055184849492,0.20718199238333926,0.7351193055000256,0.008854454897620365,0.0011068068622025456
factor_03_turnover_volatility_momentum,Growth,1891,0.0003216805072774711,0.09180937112984443,0.07936317833632892,0.22904458880923217,0.44421507870972177,0.014278159703860392,0.0
factor_03_turnover_volatility_momentum,Leverage,1785,-0.004452227930047616,0.08971504249781216,0.07824108335321169,0.2083084271437232,0.48456302171828014,0.0061624649859943975,0.0
factor_05_volume_price_divergence_cov,Size,1846,-0.0006909880882905897,0.05742495134880203,0.04548029375338595,0.14454068441371418,0.6380185666501906,0.003791982665222102,0.0005417118093174431
factor_05_volume_price_divergence_cov,Beta,1962,-0.007344914414341505,0.05365495534670204,0.04285255058804228,0.13613443160308095,0.299896431675684,0.0,0.0
factor_05_volume_price_divergence_cov,Momentum,1845,-0.0024239237578114223,0.05716146659337531,0.04678247196573097,0.1419159179550791,0.41164595834300394,0.0032520325203252032,0.0
factor_05_volume_price_divergence_cov,ResVol,1796,-0.0008787338110318705,0.0538240869750562,0.043280726147458794,0.13720365033390164,0.8081537727360091,0.0033407572383073497,0.0011135857461024498
factor_05_volume_price_divergence_cov,NLS,1846,-0.0013573152155354517,0.0555097607559203,0.044441023801217824,0.14161217036223203,0.3888187674877692,0.0032502708559046588,0.0
factor_05_volume_price_divergence_cov,BTP,1807,0.002354726930315996,0.06071859940651759,0.047292201226368076,0.15562066042194847,0.6057932248873806,0.006640841173215274,0.0011068068622025456
factor_05_volume_price_divergence_cov,Liquidity,1728,-0.0019834462331833396,0.06818926693040923,0.05090911938392437,0.18988506326657983,0.7240964000156564,0.011574074074074073,0.001736111111111111
factor_05_volume_price_divergence_cov,EY,1807,0.00175757848463882,0.05890023714579493,0.046517733759332776,0.14937678565850893,0.7755013574099756,0.00387382401770891,0.0005534034311012728
factor_05_volume_price_divergence_cov,Growth,1891,-0.0021540777269113973,0.061848726976100665,0.049725813292264276,0.15653890758498035,0.5217001358211042,0.005817028027498678,0.0005288207297726071
factor_05_volume_price_divergence_cov,Leverage,1785,-0.0011071095307789267,0.06058846229514535,0.047943688029301726,0.15370041526446102,0.6642614278817441,0.00392156862745098,0.0011204481792717086
factor_44_volume_divergence_composite_momentum,Size,1846,-0.00652549374046843,0.08773216892436642,0.07780196882105651,0.20219443694730876,0.9291782078213578,0.0032502708559046588,0.0010834236186348862
factor_44_volume_divergence_composite_momentum,Beta,1962,-0.02014362110040944,0.08850914462278422,0.08041330581581305,0.1933188988337152,0.29541399262086043,0.0,0.0
factor_44_volume_divergence_composite_momentum,Momentum,1845,-0.005937686531458767,0.07863516658600989,0.06636898324575662,0.19035318033932402,0.39518429982901226,0.0032520325203252032,0.0
factor_44_volume_divergence_composite_momentum,ResVol,1796,6.0581355305618296e-05,0.07289183255396577,0.0626094254650637,0.17159151171997927,0.505470365804766,0.0022271714922048997,0.0005567928730512249
factor_44_volume_divergence_composite_momentum,NLS,1846,-0.006722062783925961,0.08273432672299985,0.07194435342803404,0.19497041977067095,0.9291782078213578,0.0032502708559046588,0.0010834236186348862
factor_44_volume_divergence_composite_momentum,BTP,1807,0.008699129395094407,0.09134828388642958,0.08186799584184097,0.2042490603141952,0.5853243610363148,0.007194244604316547,0.0011068068622025456
factor_44_volume_divergence_composite_momentum,Liquidity,1728,-0.0007576590938481564,0.08893461340171112,0.07148770929178475,0.22592781986245541,0.7393712066343378,0.014467592592592593,0.0028935185185185184
factor_44_volume_divergence_composite_momentum,EY,1807,0.0017093997368455816,0.08542929222908574,0.07529486624106102,0.19946072177494578,0.8122316497407982,0.004427227448810182,0.0011068068622025456
factor_44_volume_divergence_composite_momentum,Growth,1888,-0.007994084647029968,0.09859527248830317,0.08882155006209608,0.21901654878174426,0.488425102198167,0.007944915254237288,0.0
factor_44_volume_divergence_composite_momentum,Leverage,1785,-0.0015687788688992683,0.09709326309038807,0.0901814320398175,0.20716939346307883,0.5036692012742304,0.0067226890756302525,0.0005602240896358543
factor_15_multi_dimensional_reversal,Size,1846,-0.007110696595916685,0.09835681793009736,0.08961676776732483,0.22007477571381173,0.7488706518440211,0.007042253521126761,0.0010834236186348862
factor_15_multi_dimensional_reversal,Beta,1962,-0.02346222428394193,0.1000402250519542,0.09204913949745619,0.2167821563929136,0.32665593598522236,0.0020387359836901123,0.0
factor_15_multi_dimensional_reversal,Momentum,1845,-0.005229314567211226,0.08698231147955729,0.07373754395071526,0.21170639957748183,0.4904734540705525,0.0065040650406504065,0.0
factor_15_multi_dimensional_reversal,ResVol,1796,-0.0009709847988650605,0.08031346348542842,0.07036412522863966,0.19104039540231438,0.5629458722032346,0.0027839643652561247,0.0005567928730512249
factor_15_multi_dimensional_reversal,NLS,1846,-0.007326467111294098,0.09235194301123925,0.079862770228637,0.21428210182467092,0.5690663569949423,0.0065005417118093175,0.0010834236186348862
factor_15_multi_dimensional_reversal,BTP,1807,0.008609442953084053,0.10196693397568823,0.092938866614312,0.22257425499897163,0.6981461472426452,0.00387382401770891,0.0011068068622025456
factor_15_multi_dimensional_reversal,Liquidity,1728,-0.003079714007592919,0.09546856147159019,0.07987221225321822,0.24234400661680275,0.6448245508198795,0.020833333333333332,0.001736111111111111
factor_15_multi_dimensional_reversal,EY,1807,0.002035290243757439,0.09479469457784287,0.0834477163640231,0.21652810995297406,0.6928866705134364,0.005534034311012728,0.0011068068622025456
factor_15_multi_dimensional_reversal,Growth,1895,-0.009182475513794858,0.11127526766703434,0.10256752178489706,0.2377827296468564,0.5979126162836468,0.010554089709762533,0.0005277044854881266
factor_15_multi_dimensional_reversal,Leverage,1785,-0.0004245714479080633,0.10924375637616579,0.10496086901238012,0.22751942930896704,0.5073005004540029,0.00784313725490196,0.0005602240896358543
