factor,factor_id,status,direction,n_days,latest_coverage,ls_ar,ls_sr,selected_ar,selected_sr,long_excess_ar,long_excess_sr,short_excess_ar,short_excess_sr,ic_mean,ic_ir,selected_ic_mean,selected_ic_ir
factor_xx_f19_lag15_fw20,xx,variant,1,2236,0.944,0.2965738448616709,1.951330410619178,0.2965738448616709,1.951330410619178,0.0861168590696688,1.7215699279745862,0.2104569857920021,1.9763703593924633,0.019205272365777945,2.0454870642885044,0.019205272365777945,2.0454870642885044
factor_xx_f15_p30_v10_t15,xx,variant,1,2236,0.946,0.32657521508300763,1.9487504900667685,0.32657521508300763,1.9487504900667685,0.0610324294000335,1.3986245659886718,0.2655427856829741,2.088379324707335,0.018150462336499893,1.8483691911703002,0.018150462336499893,1.8483691911703002
factor_xx_f15_p20_v20_t30,xx,variant,1,2236,0.938,0.3217007188836084,1.9475076276656125,0.3217007188836084,1.9475076276656125,0.05976910690524636,1.4254907297978994,0.26193161197836207,2.0697742304030724,0.01748158408171182,1.8380476044857397,0.01748158408171182,1.8380476044857397
factor_xx_f15_p20_v30_t20,xx,variant,1,2236,0.944,0.3208140974851687,1.9473454068479799,0.3208140974851687,1.9473454068479799,0.05936899921728357,1.4204030962111507,0.26144509826788515,2.07107975519703,0.01735448480321944,1.832760039934656,0.01735448480321944,1.832760039934656
factor_xx_f15_p20_v40_t15,xx,variant,1,2236,0.946,0.31924057568510045,1.9464544502702201,0.31924057568510045,1.9464544502702201,0.059000282248362935,1.4145150886975864,0.26024029343673755,2.0726418207156962,0.017305724232577965,1.8370199630180526,0.017305724232577965,1.8370199630180526
factor_xx_f19_lag10_fw10,xx,variant,1,2236,0.946,0.2832197956234838,1.9457737399454296,0.2832197956234838,1.9457737399454296,0.07133480537945179,1.4866140264002472,0.21188499024403198,2.073219433911279,0.018232233355745135,2.026625102908644,0.018232233355745135,2.026625102908644
factor_xx_f15_p15_v15_t40,xx,variant,1,2236,0.936,0.31574964028378394,1.9444420510731748,0.31574964028378394,1.9444420510731748,0.05686553576716587,1.3881761592112292,0.25888410451661803,2.0755808803573523,0.017052151772774016,1.8269024574153445,0.017052151772774016,1.8269024574153445
factor_xx_f19_lag10_fw30,xx,variant,1,2236,0.938,0.28576889478650375,1.9429797425676643,0.28576889478650375,1.9429797425676643,0.07839160546875462,1.646842446590534,0.20737728931774912,1.9924980618860948,0.018225730869200787,2.0199781460516797,0.018225730869200787,2.0199781460516797
factor_xx_f15_p20_v40_t10,xx,variant,1,2236,0.946,0.31775914986548986,1.940186348360686,0.31775914986548986,1.940186348360686,0.05627567902615399,1.348178357135674,0.261483470839336,2.086529965110391,0.017280527563007093,1.834209314759813,0.017280527563007093,1.834209314759813
factor_xx_f15_p20_v10_t40,xx,variant,1,2236,0.936,0.32114788186169996,1.9400598496219803,0.32114788186169996,1.9400598496219803,0.06016528256272044,1.4344066428210027,0.2609825992989795,2.0567673050169866,0.017490852445875543,1.828755952147961,0.017490852445875543,1.828755952147961
factor_xx_f15_p15_v30_t30,xx,variant,1,2236,0.938,0.3109744268435421,1.9386350417652747,0.3109744268435421,1.9386350417652747,0.05625328943103034,1.3822911568820042,0.25472113741251173,2.071330199736658,0.01671689735623616,1.8147034606099004,0.01671689735623616,1.8147034606099004
factor_xx_f19_lag10_fw5,xx,variant,1,2236,0.947,0.27884460905548886,1.9381799192776814,0.27884460905548886,1.9381799192776814,0.06391283551445137,1.3441744852472062,0.21493177354103749,2.1316886465608227,0.01803269550169166,2.0247177656604824,0.01803269550169166,2.0247177656604824
factor_xx_f15_p15_v20_t40,xx,variant,1,2236,0.936,0.3131576231939088,1.9368980768426007,0.3131576231939088,1.9368980768426007,0.05696605119567541,1.3932173655682725,0.2561915719982333,2.0646285678814555,0.016862924158304256,1.8160962721783098,0.016862924158304256,1.8160962721783098
factor_xx_f15_p20_v40_t20,xx,variant,1,2236,0.944,0.3180268618781584,1.9366388322953993,0.3180268618781584,1.9366388322953993,0.0596177369166772,1.4293470556224037,0.2584091249614813,2.054642836865154,0.01715788405446583,1.8210187682985102,0.01715788405446583,1.8210187682985102
factor_xx_f43_s20_l240,xx,variant,1,2236,0.852,0.29288695131239184,1.9350402362275585,0.29288695131239184,1.9350402362275585,0.06699235287564595,1.4823429254138203,0.2258945984367459,1.9416214455656273,0.015300469741546694,1.7993433780539017,0.015300469741546694,1.7993433780539017
factor_xx_f15_p30_v10_t20,xx,variant,1,2236,0.944,0.32522758464949564,1.9308288474459023,0.32522758464949564,1.9308288474459023,0.06168162920091009,1.4119527582132325,0.26354595544858556,2.0594670988252655,0.01796197251476591,1.8240797531286206,0.01796197251476591,1.8240797531286206
factor_xx_f15_p30_v15_t10,xx,variant,1,2236,0.946,0.3225340969214834,1.9272827647411759,0.3225340969214834,1.9272827647411759,0.05872284081365439,1.3450881402289212,0.263811256107829,2.0787108102940244,0.017910855590191586,1.8278906043481402,0.017910855590191586,1.8278906043481402
factor_xx_f19_lag15_fw15,xx,variant,1,2236,0.946,0.29095691204419455,1.92724082915991,0.29095691204419455,1.92724082915991,0.08350963684937104,1.6644170790109858,0.20744727519482353,1.9703345940962569,0.018920771805487048,2.021402141397883,0.018920771805487048,2.021402141397883
factor_xx_f19_lag15_fw30,xx,variant,1,2236,0.938,0.29372480677155705,1.9268240487088704,0.29372480677155705,1.9268240487088704,0.08694050098197069,1.7403935920199602,0.20678430578958637,1.932020571314348,0.018958646508732902,2.0192239611793648,0.018958646508732902,2.0192239611793648
factor_xx_f15_p15_v40_t30,xx,variant,1,2236,0.938,0.3070409444958608,1.924739723920569,0.3070409444958608,1.924739723920569,0.05616116380806761,1.3835760816787728,0.25087978068779315,2.0534426139669715,0.016457201586504412,1.798015539676615,0.016457201586504412,1.798015539676615
