factor,style,n_exposure_days,portfolio_exposure_mean,portfolio_exposure_abs_mean,portfolio_exposure_abs_median,portfolio_exposure_abs_p95,portfolio_exposure_abs_max
factor_07_price_volume_deviation_vol,NLS,1846,-0.0070240741981874456,0.12210953184854859,0.09851231560440331,0.3125769376976387,0.7150909090517392
factor_07_price_volume_deviation_vol,BTP,1807,0.0056494914577863665,0.12513635795457675,0.0987643179918199,0.32519973283423437,0.6496046403820608
factor_07_price_volume_deviation_vol,Liquidity,1729,-0.0001325501952462399,0.09178704743373965,0.06196610446961941,0.27569623889178657,0.6422834313340737
factor_07_price_volume_deviation_vol,EY,1807,0.0028656043581073427,0.1216562687247241,0.09738380845221821,0.32139169235351317,0.6316513948599306
factor_07_price_volume_deviation_vol,Growth,1962,-0.011703632688062498,0.11868091847865467,0.09053712696071961,0.31099976655700506,0.8445207530828805
factor_07_price_volume_deviation_vol,Leverage,1785,-0.00035776997096901534,0.13080312296636804,0.10841286863565662,0.32835999924219306,0.7609408041794167
factor_12_turnover_volatility,Size,1846,-0.00826914789436296,0.20555806055044412,0.18465317518011445,0.49606841573522986,0.781770114505059
factor_12_turnover_volatility,Beta,1962,-0.023347255561746123,0.20923990854002722,0.1907318561062934,0.48298623395511625,0.8435208277367717
factor_12_turnover_volatility,Momentum,1845,0.005377085284623645,0.1816981427368034,0.1503248634511931,0.4649530682948696,0.7731959637705137
factor_12_turnover_volatility,ResVol,1797,-0.0033016216759341223,0.1633143175144376,0.13141168864118674,0.41410475358481397,0.689325021900114
factor_12_turnover_volatility,NLS,1846,-0.0076947533733940756,0.1935060993163533,0.16708628736803044,0.4784839540448157,0.7406264754064557
factor_12_turnover_volatility,BTP,1807,0.0047993958191539215,0.19815082362001063,0.17781985459138486,0.47190434932911124,0.7135006554892152
factor_12_turnover_volatility,Liquidity,1729,0.002941133817936903,0.13363940471018015,0.09535812704977632,0.39388290411226423,0.8293913069915411
factor_12_turnover_volatility,EY,1807,0.000254727233926709,0.19929090188090967,0.17749236378429276,0.4788333655626627,0.7177877101161627
factor_12_turnover_volatility,Growth,1962,-0.013720520845861032,0.1851700530073064,0.15433644462546303,0.458091992694137,0.9837488169868454
factor_12_turnover_volatility,Leverage,1785,-0.013041610551043994,0.20791190270435875,0.1819680639479434,0.4906238211447901,0.7716933575955561
factor_13_main_fund_stability,Size,1846,-0.01291766794420859,0.13726647104720002,0.11808041833231625,0.33940049685446483,0.6732391210377076
factor_13_main_fund_stability,Beta,1962,-0.027282248907015826,0.1583435383215042,0.13987085712772382,0.35806128614772953,0.7021884719750981
factor_13_main_fund_stability,Momentum,1845,-0.0019018478139479183,0.12148436044633557,0.09886153064784992,0.30980730945715984,0.5203645547789357
factor_13_main_fund_stability,ResVol,1797,-0.002413266256538091,0.11319517393367513,0.08922926988744535,0.28446361421424565,0.5691091135816688
factor_13_main_fund_stability,NLS,1846,-0.010792045932022938,0.1304937690998414,0.11174892071173453,0.3207837990835811,0.6741605749029123
factor_13_main_fund_stability,BTP,1807,0.009231351655798189,0.13483101937638903,0.10875467735035721,0.34293550022428787,0.6059472894870024
factor_13_main_fund_stability,Liquidity,1729,-0.0008402453047108362,0.0956656126119664,0.0653191072757148,0.2884971544680801,0.5695687222698345
factor_13_main_fund_stability,EY,1807,0.00310223439587363,0.1284455516104362,0.10405514744548708,0.33133614181765186,0.6037460687815749
factor_13_main_fund_stability,Growth,1962,-0.016453436374004274,0.13005298154810188,0.10437722925172249,0.3254307420751112,0.7353126462037854
factor_13_main_fund_stability,Leverage,1785,7.995757939210455e-05,0.14581001158198056,0.1258916034462058,0.34992102969720296,0.6404269989681775
factor_01_residual_volatility,Size,1846,-0.0007117266540485174,0.11127603651656447,0.09295386883997349,0.2895226481474037,0.5443429832518276
factor_01_residual_volatility,Beta,1962,-0.002968404919943312,0.11939536509664798,0.09986838837179948,0.30248193181213173,0.694965374125532
factor_01_residual_volatility,Momentum,1845,-0.0013176361909449368,0.10646016668626607,0.08261351091904057,0.282932403936246,0.6131355540583836
factor_01_residual_volatility,ResVol,1797,-0.0022323295918212646,0.0978957773170257,0.07732762455438966,0.2668329451419887,0.4707905714277265
factor_01_residual_volatility,NLS,1846,-0.0007218358486245522,0.1065478892491862,0.08561830670360618,0.2754263079176761,0.5807046622060733
factor_01_residual_volatility,BTP,1807,-0.0005694488653002869,0.10886765776089623,0.08666243854063872,0.2826604222894944,0.5386010077113627
factor_01_residual_volatility,Liquidity,1729,-0.002051297605147742,0.0775609745022685,0.05284158919237278,0.22840224390141484,0.4595943502894364
factor_01_residual_volatility,EY,1807,0.0029414776531991715,0.10660416648605446,0.08325641028132968,0.2848052693156461,0.5645545452890383
factor_01_residual_volatility,Growth,1962,-0.0005522905652984742,0.09483718879252473,0.0712044755736338,0.258868296975205,0.6354828603223953
factor_01_residual_volatility,Leverage,1785,-0.004472252424590532,0.10852462384372898,0.08558617738673008,0.28224346740772777,0.6938688782544031
factor_03_turnover_volatility_momentum,Size,1846,-0.006768402743793934,0.17415777515378916,0.14658733127611842,0.4377578383051025,0.7785491471063956
factor_03_turnover_volatility_momentum,Beta,1962,-0.019126566749321762,0.18067653176177387,0.15224900311462725,0.44480695809947474,0.7930887877411213
factor_03_turnover_volatility_momentum,Momentum,1845,0.004087409263689309,0.15751412961318684,0.1268995109672275,0.4133759019095379,0.7558396381512027
factor_03_turnover_volatility_momentum,ResVol,1797,-0.003034246870716063,0.1422087565813014,0.10946257897025696,0.37907728813456704,0.6966664742877955
factor_03_turnover_volatility_momentum,NLS,1846,-0.007612298334742844,0.16491251399832946,0.13426284966678126,0.4229814956297848,0.7695872101325099
factor_03_turnover_volatility_momentum,BTP,1807,0.002862433592450802,0.16846010214199958,0.14289477866792905,0.4203124977991628,0.6770347173454345
factor_03_turnover_volatility_momentum,Liquidity,1729,0.0020252021025445343,0.11504395864679849,0.07767098039442831,0.34682307557083414,0.8630298322691723
factor_03_turnover_volatility_momentum,EY,1807,0.0005340048901382211,0.17100039951655213,0.14444919703195225,0.44136038171326525,0.7325792805081093
factor_03_turnover_volatility_momentum,Growth,1962,-0.009251448713722302,0.15693326241409683,0.12375118821984171,0.4201123569822872,0.761114211763495
